Type,Nom,Fournisseur,Prix,Unite,specs,Note,Disponibilite,Delai,Region
Béton,Béton léger C20/25,Cemex France,88.0,m³,{},3,En stock,48h,Auvergne-Rhône-Alpes
Charpente,Poutre IPN 300 acier S235,ArcelorMittal,24.5,ml,{},5,Rupture stock,96h,Auvergne-Rhône-Alpes
Maçonnerie,Pierre de taille calcaire,Rocamat,185.0,m²,{},5,En stock,21 jours,Provence-Alpes
Béton,Béton ciré décoratif,Mercadier,48.0,m²,{},4,En stock,48h,Provence-Alpes
Acier,Profilé UPN 200 S235,ArcelorMittal,16.8,ml,{},4,En stock,96h,Provence-Alpes
Isolation,Liège expansé 100mm,Amorim,32.0,m²,{},5,En stock,10 jours,Provence-Alpes
Charpente,Poutre contrecollée BLC 200x360,Mathis SA,45.0,ml,{},5,En stock,15 jours,Provence-Alpes
Béton,Béton architectonique blanc,Lafarge Holcim,195.0,m³,{},5,Stock limité,96h,Provence-Alpes
Maçonnerie,Bloc béton plein 20x20x50,Alkern,2.8,unité,{},4,En stock,24h,Provence-Alpes
Acier,Acier HA FeE500 Ø32,Riva Acier,1180.0,tonne,{},5,En stock,7 jours,Provence-Alpes
Isolation,Laine de mouton 120mm R=3.0,Naturlaine,24.5,m²,{},4,Stock limité,14 jours,Provence-Alpes
Charpente,Poutre HEB 240 S355,ArcelorMittal,28.5,ml,{},5,En stock,96h,Provence-Alpes
Béton,Mortier colle flexible C2S1,Weber,12.8,sac 25kg,{},4,En stock,24h,Provence-Alpes
Maçonnerie,Planelle béton 20x5x50,Stepoc,1.45,unité,{},3,En stock,24h,Provence-Alpes
Acier,Treillis soudé PAF Ø8,Sivalbp,7.2,m²,{},4,En stock,48h,Provence-Alpes
Isolation,PIR Alu 140mm R=6.3,Kingspan,35.0,m²,{},5,En stock,72h,Provence-Alpes
Béton,Béton projeté C30/37,Cemex France,128.0,m³,{},4,En stock,96h,Provence-Alpes
Charpente,Bastaing épicéa 63x175mm,Scierie Bouvet,3.8,ml,{},3,En stock,48h,Provence-Alpes
Maçonnerie,Bloc Ytong+ 37.5cm,Ytong,52.0,m²,{},5,En stock,48h,Provence-Alpes
Acier,Poutrelle IPE 240 S235,Riva Acier,18.5,ml,{},4,En stock,96h,Provence-Alpes
Isolation,Laine de roche 240mm R=6.6,Rockwool,22.5,m²,{},5,En stock,48h,Provence-Alpes
Béton,Béton prêt à l'emploi C25/30,Lafarge Holcim,92.0,m³,{},4,En stock,24h,Provence-Alpes
